scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
404,95.8,-10.175015208379726,-11.870923559954626,-3.1404835784935283,-11.7,10.152174,1.570796,22.07583304770066,1.5719057286860585,2164.099364431069,56,-10.58688,1569,0.0008487971231157229,0.9999999999999999,2910,0.9999999999999999,0,0.9999999999999999,2910,16,1.1670100973555188e-219,2983,0.0,0
406,96.4,-10.414889659000153,-11.85600773334129,3.0908312564710494,-11.7,10.36087,1.570796,22.254014577302247,1.5200352564710493,572.9945808945395,56,-14.160246666666668,1819,0.005358926994762,1.0,2910,1.0,0,1.0,2910,16,0.0,2980,0.0,0
408,97.0,-10.624647681797086,-11.847069850049222,3.1115677016583403,-11.7,10.569565,1.570796,22.44241298543242,1.5407717016583402,1729.2968038057716,56,-13.447759999999999,572,0.0012287288193185235,1.0,2910,1.0,0,1.0,2911,16,1.2287288193185235e-303,3000,0.0,0
410,97.6,-10.823951768263766,-11.842617214063607,3.1182463099291113,-11.7,10.778261,1.570796,22.637835401818474,1.5474503099291113,938.0377547454974,56,-13.971,2955,0.0033519627465277463,1.0,2910,1.0,1,0.9999999999999998,2911,17,0.0,2995,0.0,0
412,98.2,-11.033887710302615,-11.831351040964757,3.096195703946881,-11.7,10.986957,1.570796,22.828028549019358,1.525399703946881,1416.3741598351774,56,-11.575300000000002,1981,0.0014373546079521694,0.9999999968784961,2910,0.9999999968784961,0,0.9999999968784961,2910,17,1.28948009583854e-108,2961,0.0,0
414,98.8,-11.241094416664598,-11.822587464799483,3.098097294812899,-11.7,11.195652,1.570796,23.02281352035995,1.527301294812899,1818.353013370929,56,-10.559293333333331,834,0.0010383832899067734,0.9999998692645871,2911,0.9999998692645871,0,0.9999998692645871,2911,17,1.9023898780190165e-67,2936,1.9023898780190165e-67,1
416,99.4,-11.377874547634793,-11.714321223653162,2.046817699025943,-11.6125,11.35,0.519146,23.0655145750264,1.5276716990259427,447.6076646627088,56,-15.820700000000002,2741,0.00780268107095109,1.0,2911,1.0,1,0.0,0,18,7.56030924470532e-161,2943,7.56030924470532e-161,1
418,100.0,-11.462956818382619,-11.53325447920536,2.047932357608146,-11.4375,11.45,0.519146,22.983268577500358,1.528786357608146,1576.431599207028,56,-11.771526666666672,1497,0.001421700221578634,0.9996827282706153,2910,0.9996827282706153,0,0.9996827282706153,2910,18,1.906091337485934e-70,2938,0.0,0
420,100.6,-11.55671565663875,-11.353743417166926,2.0376118415712603,-11.2625,11.55,0.519146,22.905633048925516,1.5184658415712602,1555.1549026994126,56,-12.317080000000004,1214,0.0019338853427877045,0.9999899525091394,2910,0.9999899525091394,0,0.9999899525091394,2910,18,7.187447003472838e-271,2989,7.187447003472838e-271,1
422,101.2,11.841092798349695,-6.741146827353749,-1.104626563689815,-11.0875,11.65,0.519146,29.393105472845455,1.623772563689815,1.0017546021588741,56,-24.694979999999987,913,0.999123835423972,0.9996758557604635,240,0.9996758557604635,1,0.0006935345296825833,2910,19,3.0126244431251906e-249,2997,0.0,0
424,101.8,-5.201947280497746,10.748029595572238,0.01910907337269456,-10.895652,11.7,0.0,5.7727394782536825,0.01910907337269456,1.2512294798266128,56,-21.648486666666663,204,0.8939669244914371,0.9339773264682235,240,0.9339773264682235,1,0.09982258245892478,2907,20,4.762200020146364e-121,2944,0.0,0
